id,name,artist,time,date,y-channel,t-account
8UE4KHm7sF0,StAlt!! - スタート!!,Alt!!,4:09,2018/08/22,UC_cCW1xmXwRFp1tX-RD2X1Q,alt_vtuber
EQybHllR2mQ,Three Piece - スリーピース-,Alt!!,4:30,2018/12/09,UC_cCW1xmXwRFp1tX-RD2X1Q,alt_vtuber
zgJhhzIbWmI,Hello My Stage!,Alt!!,4:51,2019/03/17,UC_cCW1xmXwRFp1tX-RD2X1Q,alt_vtuber
fXFeFWZBZRM,たのしむーぶ,Alt!!,3:49,2019/04/15,UC_cCW1xmXwRFp1tX-RD2X1Q,alt_vtuber
BZBrsxqCPO8,Dramatic Parade,Alt!!,4:13,2019/08/05,UC_cCW1xmXwRFp1tX-RD2X1Q,alt_vtuber
hsifuPWWt0k,FutureGirl (short ver),ANON ,2:19,2019/07/06,UCwic8vCEuPCGroFhpS5-RtA,
ZkvtKUQp3nM,Creating world,AZKi,4:36,2018/12/28,UC0TXe_LYZ4scaW2XMyi5_kw,AZKi_VDiVA
tum7dljV2ts,I can't control myself,AZKi,3:34,2019/02/28,UC0TXe_LYZ4scaW2XMyi5_kw,AZKi_VDiVA
-VQx0MtsvSQ,いのち,AZKi,4:32,2019/04/30,UC0TXe_LYZ4scaW2XMyi5_kw,AZKi_VDiVA
ZezL7jHGKCA,ハートビート,AZKi,4:21,2019/07/19,UC0TXe_LYZ4scaW2XMyi5_kw,AZKi_VDiVA
ATNXVmWtVGY,メッセージ,GEMS COMPANY(citross),5:05,2018/12/28,UCBvICYXxPK8PkoocBGnmeHA,gems_company
j-ywMseo4D0,オンリー・マイ・フレンド,GEMS COMPANY(珠根うた・星菜日向夏),5:03,2018/10/19,UCBvICYXxPK8PkoocBGnmeHA,gems_company
R25PAaqNQYI,しゃかりきマイライフ！,GEMS COMPANY(奈日抽ねね・有栖川レイカ),4:04,2018/12/05,UCBvICYXxPK8PkoocBGnmeHA,gems_company
J8PUUv4LFkQ,ヒトガタ ,HIMEHINA(田中ヒメ＋鈴木ヒナ),3:59,2019/02/20,UCFv2z4iM5vHrS8bZPq4fHQQ,HimeTanaka_HH
O5uyMKs0n3Q,ヒバリ,HIMEHINA(田中ヒメ＋鈴木ヒナ),4:37,2019/07/05,UCFv2z4iM5vHrS8bZPq4fHQQ,HimeTanaka_HH
--j0RL0uO8I,飛,K’WA,2:57,2018/05/03,UCyZZMKRn-mUEkPzaqa9b6bg,kwa_kon
JXP77fW-TRk,蝴蝶,K’WA,2:57,2018/05/19,UCyZZMKRn-mUEkPzaqa9b6bg,kwa_kon
6xXlVfdeSBs,KAGAYAKI STARS,KAGAYAKI STARS,5:17,2018/09/28,UC90vyzmRgWCE17-uWNsKW2Q,kagayaki_stars
nhFgmVDPNlo,VR - Virtual Reality,KMNZ LITA,3:16,2019/03/01,UCwuS0uY-Z2Gr_5OV2oFybFA,
AFp_HSyar-Y,IFIF,KMNZ LITA・LIZ・YACA IN DA HOUSE,3:37,2018/09/14,UCwuS0uY-Z2Gr_5OV2oFybFA,
7vURHWd-pJk,Up-to-date feat. かしこまり,MonsterZ MATE・かしこまり,4:28,2019/02/28,UCKDHdDpoE9lurDuyAGAuNnw,neko_vtuber
f-nl0omQcnE,夢色エール,Re:A projecT,5:05,2019/03/31,UCvTLPxNpr1V3MpQDL9PrIcQ,Re_AprojecT
MuDhyfj2jo4,シグナル,Re:A projecT,4:06,2019/04/11,UCvTLPxNpr1V3MpQDL9PrIcQ,Re_AprojecT
dgl7MIB1p5A,放課後のダンスフロア,somunia,3:21,2019/03/23,UCqhnvjASWaS1eF_023Y--DQ,she_is_wired
d7mAktV4Prc,summer leap,somunia,3:21,2019/03/30,UCqhnvjASWaS1eF_023Y--DQ,she_is_wired
tzY7vm1lvVc,Rewind you,somunia,3:11,2019/04/26,UCqhnvjASWaS1eF_023Y--DQ,she_is_wired
uUvthLpSHrQ,twinkle night,somunia,3:47,2019/05/04,UCqhnvjASWaS1eF_023Y--DQ,she_is_wired
Jl3ti1ARTfo,UNITE IN THE SKY,unity-chan!,4:00,2018/12/31,UCvDLWW-HZ0JJHzblazs-OWw,
11Ybh39IiU4,拡散性マジョリティ,X'Flare,5:04,2018/10/10,UCaWuiIyX89dLP5H4pA7QAvQ,XFlareVtuber1
UvvYqqqCcno,干渉ベクトルハート,X'Flare,3:54,2018/11/10,UCaWuiIyX89dLP5H4pA7QAvQ,XFlareVtuber1
tRe5rwSOzM0,ODANGO,X'Flare,3:59,2019/02/10,UCaWuiIyX89dLP5H4pA7QAvQ,XFlareVtuber1
BnH6RiFm9f4,透明声彩,YuNi,3:44,2018/10/26,UCHTnX0CSX_KObo5I9WuZ64g,yuni_vsinger
b9PTY7OVwhY,Winter Berry (version Red),YuNi,3:20,2018/12/25,UCHTnX0CSX_KObo5I9WuZ64g,yuni_vsinger
-VLYmY_1qx8,花は幻,YuNi,3:52,2019/03/10,UCHTnX0CSX_KObo5I9WuZ64g,yuni_vsinger
XtlDHnWgGeM,人類みなセンパイ！,アズマリム,4:35,2018/12/24,UCARI2g7r-PHaxrIcAYsMfmA,azuma_lim
xle56bEsITQ,Clock,アメノセイ,4:22,2018/07/14,UCKgndddKiQGIn0-T8jHzndg,ame_no_sei
h1LMSQ0cMmw,ハロハロハロウィン,イ卜トイ,3:55,2018/10/31,UC7BNUrzIgPih9AcXlPiHFaw,ToiIura
uSLljr73EU8,ショートカットでよろしく！,えのぐ,4:38,2018/08/25,UCFI81W9F49a7GvimKF905eQ,rbc_geino
